CXCR4 Enamine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWISSADME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CODE,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
CUEN-423,COc1cc(cc(c1OC)OC)C(=O)Cc1nc2c([nH]1)cccc2,C18H18N2O4,326.35,24,15,0.22,6,5,1,90.25,73.44,2.37,2.72,3.01,1.15,3.89,2.63,-3.64,7.42E-02,2.27E-04,Soluble,-3.92,3.96E-02,1.21E-04,Soluble,-6.14,2.36E-04,7.24E-07,Poorly soluble,High,Yes,No,Yes,Yes,Yes,Yes,Yes,-6.36,0,0,0,0,0,0.55,0,0,0,2.55
CUEN-087,Fc1ccc(c(c1)[N+](=O)[O-])CNCCc1nc2c([nH]1)cccc2,C16H15FN4O2,314.31,23,15,0.19,6,5,2,86.74,86.53,1.94,2.78,3.21,2.62,2.05,2.52,-3.63,7.42E-02,2.36E-04,Soluble,-4.25,1.75E-02,5.58E-05,Moderately soluble,-6.34,1.45E-04,4.61E-07,Poorly soluble,High,No,No,Yes,Yes,No,Yes,Yes,-6.24,0,0,0,0,0,0.55,0,2,0,2.5
CUEN-052,C1CCCC(CC1)Nc1cccc2c1cccn2,C16H20N2,240.34,18,10,0.44,2,1,1,77.78,24.92,2.88,4.18,4.18,3.1,3.57,3.58,-4.24,1.37E-02,5.72E-05,Moderately soluble,-4.41,9.31E-03,3.87E-05,Moderately soluble,-5.47,8.07E-04,3.36E-06,Moderately soluble,High,Yes,Yes,Yes,Yes,No,Yes,No,-4.8,0,0,0,0,0,0.55,0,0,2,1.85
CUEN-560,NCCc1[nH]c2c(n1)c(ccc2)c1cccnc1,C14H14N4,238.29,18,15,0.14,3,3,2,71.81,67.59,1.6,1.4,2.13,1.07,2.97,1.83,-2.62,5.74E-01,2.41E-03,Soluble,-2.42,8.99E-01,3.77E-03,Soluble,-5.51,7.31E-04,3.07E-06,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.76,0,0,0,0,0,0.55,0,0,1,2.31
CUEN-647,O=c1[nH]c(CN2CCCCC2)nc2c1cccc2,C14H17N3O,243.3,18,10,0.43,2,3,1,76.06,48.99,2.52,2.09,1.38,2,2.95,2.19,-2.94,2.77E-01,1.14E-03,Soluble,-2.75,4.34E-01,1.78E-03,Soluble,-4.37,1.04E-02,4.26E-05,Moderately soluble,High,Yes,No,Yes,No,No,Yes,No,-6.3,0,0,0,0,0,0.55,0,0,1,2.14
CUEN-347,O=C1CCC(CC1)N(Cc1ccccc1)Cc1ccccc1,C20H23NO,293.4,22,12,0.35,5,2,0,90.53,20.31,3.07,3.49,3.9,3.39,4.26,3.62,-3.93,3.44E-02,1.17E-04,Soluble,-3.6,7.38E-02,2.52E-04,Soluble,-6.38,1.23E-04,4.20E-07,Poorly soluble,High,Yes,Yes,No,No,No,Yes,No,-5.61,0,0,0,0,0,0.55,0,0,0,1.76
CUEN-735,NCC(C1CCCC1)NC(=O)CC1CCCc2c1cccc2,C19H28N2O,300.44,22,6,0.63,6,2,2,90.73,55.12,2.98,3.29,3.13,2.93,3.54,3.17,-3.58,7.88E-02,2.62E-04,Soluble,-4.12,2.26E-02,7.54E-05,Moderately soluble,-4.92,3.60E-03,1.20E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-5.8,0,0,0,0,0,0.55,0,0,0,3.13
CUEN-085,Fc1ccc(c(c1)c1nc2c([nH]1)cccc2)C,C14H11FN2,226.25,17,15,0.07,1,2,1,66.45,28.68,2.2,3.7,4.1,3.47,4.45,3.58,-4.16,1.56E-02,6.91E-05,Moderately soluble,-3.99,2.30E-02,1.02E-04,Soluble,-6.1,1.79E-04,7.91E-07,Poorly soluble,High,Yes,Yes,Yes,Yes,No,No,Yes,-5.05,0,0,0,0,0,0.55,0,0,2,1.94
CUEN-141,NCc1nc2c([nH]1)c1ccccc1cc2,C12H11N3,197.24,15,13,0.08,1,2,2,61.27,54.7,0.91,1.63,2.02,1.43,2.64,1.73,-2.67,4.26E-01,2.16E-03,Soluble,-2.39,8.01E-01,4.06E-03,Soluble,-4.64,4.56E-03,2.31E-05,Moderately soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.35,0,0,0,0,1,0.55,0,0,1,1.6
CUEN-486,COc1cccc(c1O)c1nc2c([nH]1)cccc2,C14H12N2O2,240.26,18,15,0.07,2,3,2,70.04,58.14,1.92,2.86,2.94,1.88,3.06,2.53,-3.62,0.0582,0.000242,Soluble,-3.74,0.0437,0.000182,Soluble,-4.99,0.00248,0.0000103,Moderately soluble,High,Yes,Yes,Yes,Yes,No,Yes,Yes,-5.73,0,0,0,0,0,0.55,0,0,1,1.89
